job_id,title,company_location,experience_level,employment_type,salary_min,salary_max,currency,skills,job_category
JOB016177,Software Engineer,US,SE,FT,297000.0,297000.0,USD,[],Data Engineer
JOB016178,Software Engineer,US,SE,FT,201000.0,201000.0,USD,[],Data Engineer
JOB016179,Software Engineer,CA,MI,FT,174000.0,174000.0,USD,[],Data Engineer
JOB016180,Software Engineer,CA,MI,FT,153000.0,153000.0,USD,[],Data Engineer
JOB016181,Software Engineer,US,MI,FT,137000.0,137000.0,USD,[],Data Engineer
JOB016182,Software Engineer,US,MI,FT,121000.0,121000.0,USD,[],Data Engineer
JOB016183,Software Engineer,US,SE,FT,245500.0,245500.0,USD,[],Data Engineer
JOB016184,Software Engineer,US,SE,FT,223000.0,223000.0,USD,[],Data Engineer
JOB016185,Software Engineer,US,SE,FT,300000.0,300000.0,USD,[],Data Engineer
JOB016186,Software Engineer,US,SE,FT,180000.0,180000.0,USD,[],Data Engineer
JOB016187,Software Engineer,US,SE,FT,267100.0,267100.0,USD,[],Data Engineer
JOB016188,Software Engineer,US,SE,FT,190800.0,190800.0,USD,[],Data Engineer
JOB016189,Applied Scientist,US,SE,FT,251600.0,251600.0,USD,[],Data Scientist
JOB016190,Applied Scientist,US,SE,FT,120100.0,120100.0,USD,[],Data Scientist
JOB016191,Data Engineer,US,SE,FT,196900.0,196900.0,USD,[],Data Engineer
JOB016192,Data Engineer,US,SE,FT,171455.0,171455.0,USD,[],Data Engineer
JOB016193,Data Engineer,US,SE,FT,235400.0,235400.0,USD,[],Data Engineer
JOB016194,Data Engineer,US,SE,FT,209720.0,209720.0,USD,[],Data Engineer
JOB016195,Data Engineer,US,MI,FT,194100.0,194100.0,USD,[],Data Engineer
JOB016196,Data Engineer,US,MI,FT,86400.0,86400.0,USD,[],Data Engineer
JOB016197,Research Scientist,US,SE,FT,240240.0,240240.0,USD,[],Data Scientist
JOB016198,Research Scientist,US,SE,FT,217558.0,217558.0,USD,[],Data Scientist
JOB016199,Software Engineer,US,SE,FT,239000.0,239000.0,USD,[],Data Engineer
JOB016200,Software Engineer,US,SE,FT,161000.0,161000.0,USD,[],Data Engineer
JOB016201,Data Analyst,US,SE,FT,146600.0,146600.0,USD,[],Data Analyst
JOB016202,Data Analyst,US,SE,FT,70000.0,70000.0,USD,[],Data Analyst
JOB016203,Data Analyst,CA,EN,FT,65000.0,65000.0,USD,[],Data Analyst
JOB016204,Data Analyst,CA,EN,FT,60000.0,60000.0,USD,[],Data Analyst
JOB016205,Analytics Engineer,US,SE,FT,135000.0,135000.0,USD,[],Data Engineer
JOB016206,Analytics Engineer,US,SE,FT,120000.0,120000.0,USD,[],Data Engineer
JOB016207,Data Analyst,US,EN,FT,206250.0,206250.0,USD,[],Data Analyst
JOB016208,Data Analyst,US,EN,FT,56000.0,56000.0,USD,[],Data Analyst
JOB016209,Data Analyst,US,EN,FT,206250.0,206250.0,USD,[],Data Analyst
JOB016210,Data Analyst,US,EN,FT,56000.0,56000.0,USD,[],Data Analyst
JOB016211,Data Analyst,US,EN,FT,206250.0,206250.0,USD,[],Data Analyst
JOB016212,Data Analyst,US,EN,FT,56000.0,56000.0,USD,[],Data Analyst
JOB016213,Data Analyst,US,MI,FT,91665.0,91665.0,USD,[],Data Analyst
JOB016214,Data Analyst,US,MI,FT,68500.0,68500.0,USD,[],Data Analyst
